model,lead_day,n_idx30,rmse_idx30,rmse_idx90,rmse_reg_macro
fusion_targetwise_blend_recursive,1,8,0.09914364109065275,0.012830500553170369,0.05598707082191156
fusion_targetwise_blend_recursive,2,8,0.11547398028245637,0.025349878440687125,0.07041192936157174
fusion_targetwise_blend_recursive,3,8,0.12479428186680656,0.04144125088354387,0.08311776637517522
fusion_targetwise_blend_recursive,4,8,0.08458914627105071,0.045048621977894165,0.06481888412447244
fusion_targetwise_blend_recursive,5,8,0.07241397090056127,0.049615822043892234,0.06101489647222676
fusion_targetwise_blend_recursive,6,8,0.10029520774932686,0.059510692612750334,0.0799029501810386
fusion_targetwise_blend_recursive,7,8,0.08918547196018001,0.07502899385906785,0.08210723290962393
fusion_targetwise_blend_recursive,8,8,0.0692343081602787,0.08302800340407682,0.07613115578217776
fusion_targetwise_blend_recursive,9,8,0.06748358170790617,0.08894501496088711,0.07821429833439664
fusion_targetwise_blend_recursive,10,8,0.06833368222719043,0.07215672606807165,0.07024520414763104
fusion_targetwise_blend_recursive,11,8,0.0801286342040644,0.05875370390888514,0.06944116905647477
fusion_targetwise_blend_recursive,12,8,0.09009918464247253,0.0645748707460974,0.07733702769428497
fusion_targetwise_blend_recursive,13,8,0.058241722305733,0.07122467092333669,0.06473319661453485
fusion_targetwise_blend_recursive,14,8,0.05866518152358861,0.06883969836104675,0.06375243994231768
fusion_targetwise_blend_recursive,15,8,0.06932189401453115,0.07108075805974558,0.07020132603713836
fusion_targetwise_blend_recursive,16,8,0.07932096478436668,0.07458533292476682,0.07695314885456675
fusion_targetwise_blend_recursive,17,8,0.10695456937182017,0.0752293381671725,0.09109195376949633
fusion_targetwise_blend_recursive,18,8,0.12260641085088107,0.07927552869948916,0.10094096977518512
fusion_targetwise_blend_recursive,19,8,0.118110531254999,0.0787810778574968,0.0984458045562479
fusion_targetwise_blend_recursive,20,8,0.12811498467397042,0.08064701800144711,0.10438100133770876
fusion_targetwise_blend_recursive,21,8,0.15585173999852028,0.08893909602794443,0.12239541801323237
fusion_targetwise_blend_recursive,22,8,0.21777891848015912,0.09108786259779983,0.15443339053897948
fusion_targetwise_blend_recursive,23,8,0.2317000489686134,0.09612830051384,0.16391417474122671
fusion_targetwise_blend_recursive,24,8,0.22251099687299236,0.09928758674164903,0.1608992918073207
fusion_targetwise_blend_recursive,25,8,0.2120111552779186,0.09734710500989457,0.1546791301439066
fusion_targetwise_blend_recursive,26,8,0.23027610754495337,0.0949234705693829,0.16259978905716813
fusion_targetwise_blend_recursive,27,8,0.3132402215637792,0.10244441527927452,0.20784231842152684
fusion_targetwise_blend_recursive,28,8,0.31893754597801244,0.10185668484689958,0.210397115412456
fusion_targetwise_blend_recursive,29,8,0.3184398850363011,0.09772397583495733,0.20808193043562923
fusion_targetwise_blend_recursive,30,8,0.2956923683364556,0.09834827254338392,0.19702032043991977
fusion_targetwise_blend_recursive,31,8,0.27532838340211263,0.10398335263717955,0.1896558680196461
fusion_targetwise_blend_recursive,32,8,0.2821715435273831,0.10895096374363729,0.1955612536355102
fusion_targetwise_blend_recursive,33,8,0.26991343717026556,0.10934406695601213,0.18962875206313884
fusion_targetwise_blend_recursive,34,8,0.24504082585500744,0.111220407695432,0.1781306167752197
fusion_targetwise_blend_recursive,35,8,0.25695233768203163,0.1104989526179365,0.18372564514998407
fusion_targetwise_blend_recursive,36,8,0.2177458835543955,0.11345919862499564,0.16560254108969558
fusion_targetwise_blend_recursive,37,8,0.20194388636735033,0.11563947480303788,0.1587916805851941
fusion_targetwise_blend_recursive,38,8,0.20643655669228525,0.11777235301910752,0.16210445485569638
fusion_targetwise_blend_recursive,39,8,0.20857474042564203,0.1225242314393857,0.16554948593251387
fusion_targetwise_blend_recursive,40,8,0.20824397173961595,0.1250338296835498,0.16663890071158288
fusion_targetwise_blend_recursive,41,8,0.21222247845480033,0.1228832172265854,0.16755284784069285
fusion_targetwise_blend_recursive,42,8,0.23545346839933312,0.12155319674127456,0.17850333257030385
fusion_targetwise_blend_recursive,43,8,0.27516996738699223,0.12467042224295474,0.19992019481497347
fusion_targetwise_blend_recursive,44,8,0.30189141718596374,0.11504246585379284,0.2084669415198783
fusion_targetwise_blend_recursive,45,8,0.32488417604256464,0.1270829809565508,0.22598357849955772
fusion_targetwise_blend_recursive,46,8,0.27233349309825183,0.12460752842967567,0.19847051076396374
fusion_targetwise_blend_recursive,47,8,0.24879459682152164,0.12624005876343333,0.18751732779247748
fusion_targetwise_blend_recursive,48,8,0.2505540057185702,0.12010813543703855,0.1853310705778044
fusion_targetwise_blend_recursive,49,8,0.25796081978573376,0.1188154949176542,0.18838815735169398
fusion_targetwise_blend_recursive,50,8,0.26666848158274753,0.1155219024865823,0.1910951920346649
fusion_targetwise_blend_recursive,51,8,0.21222762179027635,0.11474075132934258,0.16348418655980945
fusion_targetwise_blend_recursive,52,8,0.1420920394868198,0.11747048365037034,0.12978126156859507
fusion_targetwise_blend_recursive,53,8,0.13169508108217728,0.11615587816824285,0.12392547962521007
fusion_targetwise_blend_recursive,54,8,0.14710635459016938,0.11921185175084627,0.13315910317050783
fusion_targetwise_blend_recursive,55,8,0.10822898355009622,0.11704522573999819,0.1126371046450472
fusion_targetwise_blend_recursive,56,8,0.11263391834466722,0.12021324822252306,0.11642358328359514
fusion_targetwise_blend_recursive,57,8,0.10122074191213488,0.12749835193722067,0.11435954692467779
fusion_targetwise_blend_recursive,58,8,0.10497130281862149,0.13369718576435694,0.11933424429148921
fusion_targetwise_blend_recursive,59,8,0.1253710845050608,0.13615103635971104,0.13076106043238592
fusion_targetwise_blend_recursive,60,8,0.12994692721954967,0.13716261260023035,0.13355476990989001
fusion_targetwise_blend_recursive,61,8,0.14177314748985706,0.1447889144200766,0.14328103095496683
fusion_targetwise_blend_recursive,62,8,0.13796300569332434,0.1417725048383534,0.1398677552658389
fusion_targetwise_blend_recursive,63,8,0.15701618517488802,0.13904113438670068,0.14802865978079435
fusion_targetwise_blend_recursive,64,8,0.14251648915515394,0.14719597916016944,0.1448562341576617
fusion_targetwise_blend_recursive,65,8,0.15315389811005153,0.1484960573561551,0.15082497773310333
fusion_targetwise_blend_recursive,66,8,0.15818234304220458,0.14124249422249888,0.14971241863235174
fusion_targetwise_blend_recursive,67,8,0.17444171460858404,0.13765593403310059,0.15604882432084233
fusion_targetwise_blend_recursive,68,8,0.22411825314016828,0.1408570819204169,0.1824876675302926
fusion_targetwise_blend_recursive,69,8,0.2792566518810842,0.14052796456420052,0.20989230822264235
fusion_targetwise_blend_recursive,70,8,0.29882002967709614,0.137270320338707,0.21804517500790158
fusion_targetwise_blend_recursive,71,8,0.2883402777937406,0.13556834961005376,0.21195431370189718
fusion_targetwise_blend_recursive,72,8,0.2723063021148386,0.13295986328328382,0.20263308269906122
fusion_targetwise_blend_recursive,73,8,0.25668005244366415,0.13526624240362475,0.19597314742364447
fusion_targetwise_blend_recursive,74,8,0.25096084321770024,0.13134604126266317,0.19115344224018171
fusion_targetwise_blend_recursive,75,8,0.1678714930378519,0.12766248914596554,0.14776699109190872
fusion_targetwise_blend_recursive,76,8,0.16866287094397983,0.13060394382668059,0.1496334073853302
fusion_targetwise_blend_recursive,77,8,0.17273323946795582,0.13392855416821295,0.15333089681808437
fusion_targetwise_blend_recursive,78,8,0.19538220708847487,0.14728555954128889,0.17133388331488186
fusion_targetwise_blend_recursive,79,8,0.21348496609951606,0.14320939918060352,0.17834718264005978
fusion_targetwise_blend_recursive,80,8,0.13193601231642588,0.15065588301533364,0.14129594766587977
fusion_targetwise_blend_recursive,81,8,0.12332268222691709,0.15798138441556803,0.14065203332124254
fusion_targetwise_blend_recursive,82,8,0.12182130490893647,0.19102893668495535,0.15642512079694593
fusion_targetwise_blend_recursive,83,8,0.08527836068785279,0.20680995149365586,0.14604415609075433
fusion_targetwise_blend_recursive,84,8,0.08308054432001982,0.21551040776844915,0.1492954760442345
fusion_targetwise_blend_recursive,85,8,0.13534153691947,0.21410742116108172,0.17472447904027588
fusion_targetwise_blend_recursive,86,8,0.17136751983587756,0.2341157766469571,0.20274164824141733
fusion_targetwise_blend_recursive,87,8,0.16083113093152573,0.2741393617442863,0.21748524633790603
fusion_targetwise_blend_recursive,88,8,0.20403515411186876,0.2844196202526472,0.244227387182258
