experiment_id,experiment_zh,purpose,run_tag,fallback_tag,flags,archived_run_id,status,one_best_model,one_best_reg_macro_rmse,one_best_reg_macro_mae,one_best_reg_macro_nse,one_best_reg_macro_pearson_r,one_idx30_rmse,one_idx30_mae,one_idx30_nse,one_idx30_pearson_r,one_idx90_rmse,one_idx90_mae,one_idx90_nse,one_idx90_pearson_r,one_reg_macro_rmse,one_reg_macro_mae,one_reg_macro_nse,one_reg_macro_pearson_r,flash_f1,flash_auc,rec_best_model,rec_best_reg_macro_rmse,rec_best_reg_macro_mae,rec_best_reg_macro_nse,rec_best_reg_macro_pearson_r,rec_idx30_rmse,rec_idx30_mae,rec_idx30_nse,rec_idx30_pearson_r,rec_idx90_rmse,rec_idx90_mae,rec_idx90_nse,rec_idx90_pearson_r,rec_reg_macro_rmse,rec_reg_macro_mae,rec_reg_macro_nse,rec_reg_macro_pearson_r,branch_tcn_daily_hybrid_idx_30_rmse,branch_tcn_daily_hybrid_idx_90_rmse,branch_tcn_daily_hybrid_reg_macro_rmse,branch_gru_daily_hybrid_idx_30_rmse,branch_gru_daily_hybrid_idx_90_rmse,branch_gru_daily_hybrid_reg_macro_rmse
full,完整模型,主模型 baseline,daily_abl_dem_off_full,daily_abl_dem_off_full,[],daily_multitask_joint_8stations_daily_abl_dem_off_full,ok,fusion_meta_all_daily,0.0391030819083245,0.0259321911942814,0.9980314878208612,0.9990185482490594,0.037171996089446,0.0252593401309328,0.9983499980798084,0.9991781595812312,0.0410416718976174,0.0266337720844593,0.9977122435833324,0.9988586036657312,0.0391068339935317,0.0259465561076961,0.9980311208315704,0.9990183816234812,0.4186046511627907,0.9669027634767596,fusion_taskwise_recursive,0.3877482242622786,0.2920393939642539,0.7261876441583222,0.8582334690187301,0.2538463933725973,0.1859531253686629,0.9205830063603776,0.980927543671983,1.1187664169727427,0.9362376241644292,-0.7605233522039776,0.675433345101592,0.68630640517267,0.561095374766546,0.0800298270781999,0.8281804443867875,0.0737892726830819,0.0428829040830774,0.0583360883830797,0.0464015307373485,0.0418109884709698,0.0441062596041591
no_physics,去掉物理支路,证明水分收支先验作用,daily_abl_dem_off_dl_only,daily_abl_dem_off_dl_only,"['--model-ablation-mode', 'dl_only']",daily_multitask_joint_8stations_daily_abl_dem_off_dl_only,ok,fusion_meta_all_daily,0.0643463265995467,0.0410118635337225,0.994471129690958,0.997266655239729,0.0829657578843725,0.0522387015357659,0.9917804043504856,0.9959513671468024,0.0457507705330032,0.029824541449356,0.9971571331486752,0.9985817666641992,0.0643582642086878,0.041031621492561,0.9944687687495803,0.9972665669055008,0.4814814814814814,0.9731868909066324,gru_daily_hybrid_recursive,0.5428246185077765,0.3843472498613532,0.6056017600225286,0.8262144752452667,0.5266202072372786,0.363717624279564,0.6582043846141172,0.8546949075128758,0.6543867548007222,0.5087272384561927,0.3976735313596963,0.7692956225681633,0.5905034810190004,0.4362224313678783,0.5279389579869067,0.8119952650405196,,,,,,
no_adaptive_gate,去掉门控融合（固定 g=0.5）,证明自适应融合作用,abl_journal_fixed_gate,,"['--model-ablation-mode', 'fixed_gate', '--fixed-gate-value', '0.5']",daily_multitask_joint_8stations_abl_journal_fixed_gate,ok,fusion_meta_all_daily,0.0460978270222602,0.03031705438669,0.9972928052498804,0.9986492679612868,0.0513373007463625,0.0340982422218279,0.9968528405669068,0.9984306110168304,0.0408707686404181,0.0265550778581442,0.997731256988348,0.9988676381379312,0.0461040346933903,0.030326660039986,0.9972920487776272,0.9986491245773808,0.5522388059701492,0.9720677712253112,fusion_meta_all_daily_recursive_regcal,0.32754137525562,0.2584312883006792,0.7923614135414716,0.8950263321235932,0.1422125322881525,0.095576665340864,0.9750743101201792,0.9904943067997678,0.5784460709299257,0.456057417421815,0.529360148335666,0.7970475911330778,0.3603293016090391,0.2758170413813395,0.7522172292279226,0.8937709489664227,,,,,,
no_modal,去掉三频分解,证明多尺度特征作用,abl_journal_no_modal,,"['--top-k-per-base', '0']",daily_multitask_joint_8stations_abl_journal_no_modal,ok,fusion_meta_all_daily,0.0406556474146203,0.0266560257941577,0.9978839578146534,0.9989441854409694,0.0398018782424958,0.0262064625267109,0.9981082670966446,0.9990559353946966,0.0415193401782604,0.0271401207741088,0.9976586810505496,0.998832213291832,0.0406606092103781,0.0266732916504098,0.9978834740735972,0.9989440743432644,0.4183673469387756,0.9717162261953052,fusion_meta_all_daily_recursive_regcal,0.4174587135263906,0.3265056148874546,0.7273498995578062,0.8518723016226126,0.5817203126921888,0.4615612991507827,0.5829386874197469,0.8220434310325673,0.6311285359594414,0.5037855886776376,0.4397284354504154,0.7458707401586507,0.6064244243258151,0.4826734439142102,0.5113335614350811,0.7839570855956091,,,,,,
no_station_emb,去掉站点嵌入,证明空间异质性表达作用,abl_journal_no_station_emb,,"['--station-emb-dim', '0']",daily_multitask_joint_8stations_abl_journal_no_station_emb,ok,fusion_meta_all_daily,0.0441851061271398,0.0288570263700089,0.9975188154078578,0.9987658107590278,0.0470209652366064,0.0309185313848008,0.9973598064604492,0.9986927274856078,0.0413665147735369,0.0268311857433247,0.9976758852975846,0.998838925903708,0.0441937400050716,0.0288748585640628,0.9975178458790168,0.998765826694658,0.381679389312977,0.973299218904386,fusion_meta_all_daily_recursive_regcal,0.5329817118865834,0.4038828838743011,0.6089065721672742,0.7989359124295791,0.4730992055051176,0.3334558882598241,0.7241481598663132,0.8775124174435354,0.6185447334459973,0.4845649665168237,0.4618477325424823,0.7203932429286289,0.5458219694755575,0.4090104273883239,0.5929979462043977,0.7989528301860822,,,,,,
phy_only,去掉深度支路（仅物理）,双支路对照,daily_abl_dem_off_phy_only,daily_abl_dem_off_phy_only,"['--model-ablation-mode', 'phy_only']",daily_multitask_joint_8stations_daily_abl_dem_off_phy_only,ok,fusion_daily_stacking,0.2151185734777477,0.1525320458117918,0.9324331483023544,0.9653335430361832,0.3117745187417974,0.2198559847405597,0.8839262757538543,0.9402423218930992,0.1184626282136981,0.0852081068830238,0.9809400208508549,0.990424764179267,0.2151185734777477,0.1525320458117918,0.9324331483023544,0.9653335430361832,0.1026856240126382,0.9219237209689328,fusion_meta_all_daily_recursive_regcal,0.677879796500289,0.5161272496545988,0.3837267920970087,0.6473255296861817,0.7861638189663023,0.6183242718649503,0.2382761507406982,0.718337260738684,0.8301568609881844,0.6542676219725155,0.0306440717628866,0.5004212579393472,0.8081603399772433,0.6362959469187329,0.1344601112517924,0.6093792593390156,,,,,,
tcn_only,仅 TCN 深度支路,证明双深度支路必要性（同训练、单路预测）,daily_abl_dem_off_full,,[],,derived,,,,,,0.0737892726830819,,,,0.0428829040830774,,,,0.0583360883830797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gru_only,仅 GRU 深度支路,证明双深度支路必要性（同训练、单路预测）,daily_abl_dem_off_full,,[],,derived,,,,,,0.0464015307373485,,,,0.0418109884709698,,,,0.0441062596041591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
