model,f1,auc,kind
元学习全候选,0.5584415584415585,0.9919103040136458,hybrid
LSTM 基线,0.525,0.9856885810269692,deep
岭回归,0.5974025974025974,0.9784163832464872,linear
深度堆叠融合,0.462686567164179,0.9665824206683516,hybrid
TCN—Transformer 混合,0.4084507042253521,0.9563480919841492,hybrid
GRU—Transformer 混合,0.5063291139240506,0.954084890844228,hybrid
