model,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,row_mean_pct
深度堆叠融合,43.68470389683654,44.32534777880186,70.32035455790826,63.24019749290056,61.86159185904955,70.6746081382328,67.80308682367841,65.89450536651597,71.0675780245078,69.61209705023782,62.93527428688088,53.21296239581951,62.05269230594751
元学习全候选,42.342014965435325,52.827195146287316,67.3223388896461,53.8019434449789,50.263477336945726,58.89340774874085,51.64876921178888,47.89319687546618,59.05924385403132,50.86913035996144,48.02929881441459,39.1919602068043,51.84516473787507
GRU—Transformer 混合,36.882218024982684,40.208809954623945,63.66027887861108,55.11748996302504,58.26382650630559,66.09943378846505,60.00617354507765,60.588926235115835,58.10717683613318,54.19385101746155,59.19005543493738,53.51876651649104,55.48641722510249
TCN—Transformer 混合,22.755372686326616,25.319169893872758,47.92082022052553,35.08633577344293,33.608003869639795,39.432159376275344,27.95365369041606,18.25688375878371,32.59601845989945,20.198860290029657,21.660184772390036,16.20092221271023,28.41569875035934
岭回归,30.764581718413588,35.48668689845615,54.64970158415296,38.70126158646606,34.05565706729964,37.29275911284573,29.490503599361947,20.520290414987286,35.37816112641447,23.50345753875433,26.730609672018925,21.389317833633008,32.330249012733674
梯度提升树,28.587560301043332,36.617115036296525,56.84243790914595,37.796672503664176,35.29020107175401,38.27603018009633,32.35236088776791,18.12870468615136,35.58736486717594,23.01481113173776,23.752479719355595,21.251823561010692,32.2914634879333
LSTM 基线,-21.50557181503259,-31.94355357111468,7.364108674580788,-19.217732906231568,-24.246127368418634,7.353857775689387,-4.0302008855589895,1.3354179188391018,10.796435488576842,0.24546159889521424,10.64345538454091,-4.682074720096999,-5.6572103687776005
