feature,mean_abs_shap,model,target
pr_mode_low,0.008236067349841478,main_fusion_gradient_shap,idx_90
wind_mode_low,0.003971627720337855,main_fusion_gradient_shap,idx_90
pr,0.002648521852623463,main_fusion_gradient_shap,idx_90
et0_mode_mid,0.002514836660775636,main_fusion_gradient_shap,idx_90
tmin_mode_mid,0.002223522276825398,main_fusion_gradient_shap,idx_90
tmean,0.0021822673350990734,main_fusion_gradient_shap,idx_90
rad_net_mode_low,0.0021469925966252222,main_fusion_gradient_shap,idx_90
rad_net,0.0018439830524539715,main_fusion_gradient_shap,idx_90
rad_down_mode_low,0.0018130256296939192,main_fusion_gradient_shap,idx_90
tmin,0.0018127968720823495,main_fusion_gradient_shap,idx_90
et0_mode_low,0.0017212678811410666,main_fusion_gradient_shap,idx_90
et0,0.0015994171940030845,main_fusion_gradient_shap,idx_90
tmean_mode_mid,0.001465507779754114,main_fusion_gradient_shap,idx_90
tmin_mode_low,0.0014384514755551323,main_fusion_gradient_shap,idx_90
wind_mode_mid,0.0013232559356702643,main_fusion_gradient_shap,idx_90
rad_down,0.001228275513501213,main_fusion_gradient_shap,idx_90
tmax_mode_mid,0.0011147826245479298,main_fusion_gradient_shap,idx_90
tmax_mode_low,0.0009966797344460414,main_fusion_gradient_shap,idx_90
tmean_mode_low,0.0009580949980767891,main_fusion_gradient_shap,idx_90
wind,0.0007969848699422998,main_fusion_gradient_shap,idx_90
tmax,0.0005355163988883548,main_fusion_gradient_shap,idx_90
pr_mode_high,0.00025793039162555714,main_fusion_gradient_shap,idx_90
rad_down_mode_high,0.0002144299323228945,main_fusion_gradient_shap,idx_90
rad_net_mode_high,0.00018716600649878605,main_fusion_gradient_shap,idx_90
