obs,pred
-0.1505315278592378,-0.11740584793901718
-0.19238027773852523,-0.16862934293320703
-0.21907476578144153,-0.20598125021558353
-0.2304931864358594,-0.2234539086313531
-0.24795215883453608,-0.24760738893297307
-0.275878138241312,-0.26927182420980755
-0.2981074381204,-0.2836635688680375
-0.3330625853384103,-0.32370667689219496
-0.3681365507306233,-0.3620272304295093
-0.39911068575080016,-0.39211524734943354
-0.4257123884842852,-0.416069721189604
-0.44216698382210823,-0.4444009244315106
-0.4552372184427609,-0.4480169467412371
-0.48591461706652667,-0.4807948399496753
-0.5314488200390295,-0.5033957225509107
-0.49627628589145245,-0.4365858554838977
-0.47886484664891577,-0.47998153734681615
-0.49258359245371053,-0.5094823211204209
-0.4989206009875795,-0.5194458592932685
-0.47888209397368237,-0.4945466676538517
-0.38054862037443166,-0.39753582251938163
-0.33593005609388954,-0.3536362303367892
-0.32550025150644735,-0.3437153984237306
-0.3319243207684044,-0.3594765100309211
-0.2314034390178674,-0.25301106996569245
-0.15236975126473745,-0.1852769552604829
-0.1248067309177256,-0.15091772371576506
-0.14209686495714702,-0.17189877053909153
-0.12764506370132953,-0.15548102443438758
-0.1293060752596966,-0.15260281089129776
-0.14983950102719906,-0.173314169597156
-0.16009979031260504,-0.18803439338176428
-0.13445422510875787,-0.15231484531874417
-0.18316821963326002,-0.17994124811265855
-0.15235834625049335,-0.17591906013436692
-0.12308533164845435,-0.13896896254092153
-0.21008478905676736,-0.141231820379988
-0.2147269977578119,-0.21740726440206584
-0.16861546560619772,-0.19173119262463412
-0.15533967583849748,-0.16335626770876716
-0.17955920220970142,-0.19733421859019334
-0.2061801978124433,-0.2135229667250226
-0.22649745809061422,-0.2301686953854298
-0.24657377088721222,-0.2484301393024706
-0.2909683112557049,-0.27349624148583174
-0.34598124364072164,-0.31116651790131455
-0.36185284408267976,-0.3628193712123904
-0.42265796379208687,-0.3950186843691872
-0.48911490821187065,-0.43533833823550666
-0.5177917054595953,-0.5086623373866368
-0.5140914773543785,-0.4829114045673213
-0.527175074236881,-0.4667317951600347
-0.6074511285868078,-0.5310375920157548
-0.6549734536423466,-0.6133106864340492
-0.6738395546242424,-0.6673867005779479
-0.6759169448574782,-0.6734283854655574
-0.7078894821826596,-0.6812965208407371
-0.807765090301485,-0.724657766918712
-0.7734688732999844,-0.7733132353249574
-0.7621586310451904,-0.7483475266992394
-0.7705696745306854,-0.7754162316546898
-0.7486939448093126,-0.753635921433135
-0.744476767877815,-0.733796729919783
-0.7679259480804548,-0.7314621014297893
-0.6600926715455964,-0.6547103289266241
-0.6311215219173414,-0.6410460917318426
-0.6089701881872409,-0.6174498677842644
-0.5485933083675165,-0.5642849008943338
-0.5232880099241244,-0.5346716563222083
-0.495596635339387,-0.5028547569720538
