obs,pred
-0.828654246504261,-0.8208317898377049
-0.8585222346312877,-0.8539697157432473
-0.9218260147261327,-0.8973914407370817
-1.017935366784176,-0.9595533811400296
-1.0675057881101717,-1.0376210012394973
-1.1015922791163855,-1.0811404320002718
-1.1154459596286055,-1.0859068825918679
-1.1389551780885976,-1.1326387317580322
-1.1841610127611413,-1.1736619760598936
-1.236086463611795,-1.2196096859907721
-1.29789206882705,-1.2704311685221337
-1.4141051837865428,-1.372707262205868
-1.6479054678325833,-1.5166119485579623
-1.7671885383538106,-1.7025641870577994
-1.7941222074181662,-1.7604881546595943
-1.5819653534563793,-1.563860937846595
-1.4922750209763331,-1.4473974444393785
-1.5134465428909787,-1.4917804374707766
-1.4948311605486178,-1.481086107954685
-1.421887216621212,-1.4117444557481387
-1.1979091520500202,-1.2133749183572358
-1.045813208344857,-1.0553603558124147
-0.9722738290904902,-0.9900316444735645
-0.9585417168715226,-0.9783637594996437
-0.6940283432379888,-0.7397922167410338
-0.506109820698118,-0.4945050348920328
-0.405094909017601,-0.40140007580788345
-0.38784090754516165,-0.41891475460445293
-0.30134613536733945,-0.30913039418394045
-0.25816202652481857,-0.2503683295448253
-0.2361003047557617,-0.25330089750170987
-0.20724709727194687,-0.2197791381116733
-0.09177232567945663,-0.09357505940699809
-0.10716657860713333,-0.10360097848845459
-0.0015025274378276084,0.006328567429863788
0.12514740246295525,0.13040052690430912
0.1665420444302501,0.17932943507734903
0.25386893317393494,0.2514862717935597
0.4195981555002796,0.398439752039154
0.5453241971650937,0.5279146440752382
0.5551749685681917,0.5229005455737548
0.5523172232839852,0.5324685875917152
0.527163568091584,0.5365075279283784
0.5352011436520596,0.5184025780829307
0.5234700407912667,0.4304225120409659
0.26590377868930454,0.35907394420418526
0.15815349087859837,0.16456341361043303
0.1199994334080745,0.10050134535047366
0.09473039815219209,0.07727319420910979
0.007033645351875771,0.0120462612566432
-0.13750326948978592,-0.01800298950660791
-0.12812223963388208,-0.036225395143688596
-0.15719449857969645,-0.10175914909824545
-0.14376691552892157,-0.15851006874145512
-0.3995870283640566,-0.3695306331262957
-0.5668087864157629,-0.5570493099516407
-0.6434682206652165,-0.5910767975967739
-0.6480504786718699,-0.6712450323259385
-0.6220084489302418,-0.5556863560544871
-0.5844883065943451,-0.534338180213709
-0.5859470073943387,-0.5972853283232704
