model,fpr,tpr
元学习全候选,0.0,0.0
元学习全候选,0.0,0.012345679012345678
元学习全候选,0.0,0.07407407407407407
元学习全候选,0.00016849199663016007,0.07407407407407407
元学习全候选,0.00016849199663016007,0.12345679012345678
元学习全候选,0.0005054759898904802,0.12345679012345678
元学习全候选,0.0005054759898904802,0.13580246913580246
元学习全候选,0.0006739679865206403,0.13580246913580246
元学习全候选,0.0006739679865206403,0.20987654320987653
元学习全候选,0.0008424599831508003,0.20987654320987653
元学习全候选,0.0008424599831508003,0.2222222222222222
元学习全候选,0.0010109519797809603,0.2222222222222222
元学习全候选,0.0010109519797809603,0.30864197530864196
元学习全候选,0.0018534119629317607,0.30864197530864196
元学习全候选,0.0018534119629317607,0.32098765432098764
元学习全候选,0.002527379949452401,0.32098765432098764
元学习全候选,0.002527379949452401,0.345679012345679
元学习全候选,0.0030328559393428814,0.345679012345679
元学习全候选,0.0030328559393428814,0.35802469135802467
元学习全候选,0.0037068239258635214,0.35802469135802467
元学习全候选,0.0037068239258635214,0.37037037037037035
元学习全候选,0.004043807919123841,0.37037037037037035
元学习全候选,0.004043807919123841,0.4691358024691358
元学习全候选,0.004212299915754001,0.4691358024691358
元学习全候选,0.004212299915754001,0.5061728395061729
元学习全候选,0.005054759898904802,0.5061728395061729
元学习全候选,0.005054759898904802,0.5432098765432098
元学习全候选,0.005223251895534962,0.5432098765432098
元学习全候选,0.005223251895534962,0.5555555555555556
元学习全候选,0.005391743892165122,0.5555555555555556
元学习全候选,0.005391743892165122,0.6049382716049383
元学习全候选,0.005560235888795282,0.6049382716049383
元学习全候选,0.005560235888795282,0.6296296296296297
元学习全候选,0.006065711878685763,0.6296296296296297
元学习全候选,0.006065711878685763,0.6419753086419753
元学习全候选,0.006234203875315923,0.6419753086419753
元学习全候选,0.006234203875315923,0.654320987654321
元学习全候选,0.007413647851727043,0.654320987654321
元学习全候选,0.007413647851727043,0.6790123456790124
元学习全候选,0.008424599831508003,0.6790123456790124
元学习全候选,0.008424599831508003,0.7037037037037037
元学习全候选,0.009098567818028643,0.7037037037037037
