model,recall,precision
元学习全候选,1.0,0.01346409574468085
元学习全候选,1.0,0.013466334164588529
元学习全候选,1.0,0.013468573328899235
元学习全候选,1.0,0.013470813237984366
元学习全候选,1.0,0.01347305389221557
元学习全候选,1.0,0.013475295291964732
元学习全候选,1.0,0.013477537437603994
元学习全候选,1.0,0.01347978032950574
元学习全候选,1.0,0.01348202396804261
元学习全候选,1.0,0.013484268353587481
元学习全候选,1.0,0.013486513486513486
元学习全候选,1.0,0.013488759367194006
元学习全候选,1.0,0.013491005996002664
元学习全候选,1.0,0.013493253373313344
元学习全候选,1.0,0.013495501499500167
元学习全候选,1.0,0.013497750374937511
元学习全候选,1.0,0.0135
元学习全候选,1.0,0.013502250375062511
元学习全候选,1.0,0.013504501500500166
元学习全候选,1.0,0.013506753376688344
元学习全候选,1.0,0.013509006004002668
元学习全候选,1.0,0.013511259382819015
元学习全候选,1.0,0.013513513513513514
元学习全候选,1.0,0.013515768396462539
元学习全候选,1.0,0.013518024032042724
元学习全候选,1.0,0.013520280420630946
元学习全候选,1.0,0.013522537562604341
元学习全候选,1.0,0.01352479545834029
元学习全候选,1.0,0.013527054108216433
元学习全候选,1.0,0.013529313512610656
元学习全候选,1.0,0.013531573671901102
元学习全候选,1.0,0.013533834586466165
元学习全候选,1.0,0.013536096256684492
元学习全候选,1.0,0.013538358682934983
元学习全候选,1.0,0.01354062186559679
元学习全候选,1.0,0.013542885805049323
元学习全候选,1.0,0.01354515050167224
元学习全候选,1.0,0.013547415955845458
元学习全候选,1.0,0.013549682167949146
元学习全候选,1.0,0.013551949138363727
元学习全候选,1.0,0.01355421686746988
元学习全候选,1.0,0.013556485355648535
元学习全候选,1.0,0.013558754603280885
元学习全候选,1.0,0.013561024610748368
元学习全候选,1.0,0.013563295378432686
元学习全候选,1.0,0.013565566906715794
元学习全候选,1.0,0.013567839195979899
元学习全候选,1.0,0.013570112246607473
元学习全候选,1.0,0.013572386058981234
元学习全候选,1.0,0.013574660633484163
元学习全候选,1.0,0.013576935970499497
元学习全候选,1.0,0.01357921207041073
元学习全候选,1.0,0.01358148893360161
元学习全候选,1.0,0.013583766560456146
元学习全候选,1.0,0.013586044951358605
元学习全候选,1.0,0.013588324106693507
元学习全候选,1.0,0.013590604026845638
元学习全候选,1.0,0.013592884712200033
元学习全候选,1.0,0.013595166163141994
元学习全候选,1.0,0.013597448380057076
元学习全候选,1.0,0.013599731363331095
元学习全候选,1.0,0.013602015113350126
