base_feature,low,mid,high
pr,1.1684867853725283,0.43423979370693894,0.6558495890409651
tmean,0.9830620902685261,0.524863826181913,0.3645617238833166
tmax,0.8717513561143683,0.5375604372410464,0.4170770300739196
tmin,1.1429338189863825,0.5398159104741711,0.381599213786427
et0,0.4564910179862893,0.21465468252106637,0.1713953551956486
wind,0.4826077161169859,0.07341603601868554,0.018874515739596625
rad_net,6.318391937484737,5.941192547443122,6.019289029249924
rad_down,6.337022514181575,5.946218153650928,6.072513930632197
