station,month,pr_mm_per_day,tmean_celsius
华弹,1,1.166989247311828,10.742860215053764
华弹,2,0.7884433962264151,14.297830188679244
华弹,3,1.104258064516129,18.498860215053764
华弹,4,2.027,20.913690476190474
华弹,5,2.8904608294930876,23.33493087557604
华弹,6,6.9690714285714295,23.504523809523807
华弹,7,5.541290322580645,24.411175115207374
华弹,8,4.868548387096774,24.43410138248848
华弹,9,5.124904761904762,21.590238095238096
华弹,10,3.8397004608294933,17.730391705069124
华弹,11,1.2436428571428573,15.148190476190475
华弹,12,0.9487327188940092,10.604884792626729
屏山,1,2.077956989247312,5.551634408602151
屏山,2,2.0116509433962264,7.640589622641509
屏山,3,2.578989247311828,12.515161290322581
屏山,4,3.589309523809524,16.636261904761902
屏山,5,3.8952304147465435,19.906658986175113
屏山,6,5.955214285714286,22.653380952380953
屏山,7,8.179539170506912,24.796198156682024
屏山,8,7.553709677419355,24.780345622119818
屏山,9,5.869833333333333,20.788761904761905
屏山,10,3.697073732718894,16.182096774193546
屏山,11,2.3526190476190476,11.866904761904763
屏山,12,2.002926267281106,6.625437788018433
岗拖,1,0.4387311827956989,-14.941978494623656
岗拖,2,0.8626886792452831,-11.60752358490566
岗拖,3,1.2818494623655914,-8.757591397849463
岗拖,4,2.140690476190476,-3.336904761904762
岗拖,5,3.789447004608295,4.3633870967741935
岗拖,6,6.5481904761904755,9.793261904761906
岗拖,7,6.3105529953917054,11.492119815668202
岗拖,8,5.175990783410138,11.689262672811061
岗拖,9,5.590285714285715,8.741809523809524
岗拖,10,2.964400921658986,1.9331336405529955
岗拖,11,0.9345,-7.632976190476191
岗拖,12,0.5548847926267281,-13.50437788018433
巴塘,1,0.5531397849462365,-7.854795698924732
巴塘,2,0.9765094339622642,-4.520943396226415
巴塘,3,1.6383440860215055,-0.3006666666666667
巴塘,4,2.7632619047619045,3.0547619047619046
巴塘,5,3.2891244239631336,8.417903225806452
巴塘,6,5.407309523809524,12.664071428571429
巴塘,7,7.02520737327189,13.087488479262673
巴塘,8,5.6168663594470045,13.116336405529953
巴塘,9,4.72304761904762,11.288642857142856
巴塘,10,2.193225806451613,6.782096774193548
巴塘,11,1.0870714285714285,0.8754285714285714
巴塘,12,0.6705990783410138,-4.492834101382488
攀枝花,1,0.5783010752688172,12.473290322580645
攀枝花,2,0.28096698113207547,15.855731132075471
攀枝花,3,0.4791827956989247,20.061376344086025
攀枝花,4,1.0497857142857143,22.588809523809523
攀枝花,5,2.7853686635944697,24.828133640552995
攀枝花,6,9.997190476190475,23.817642857142857
攀枝花,7,11.252511520737327,23.26020737327189
攀枝花,8,10.735967741935484,23.0639400921659
攀枝花,9,9.57502380952381,21.39240476190476
攀枝花,10,3.923018433179723,18.63799539170507
攀枝花,11,0.5421428571428571,15.256880952380953
攀枝花,12,0.38923963133640554,11.97004608294931
石鼓,1,0.5536344086021505,5.839505376344086
石鼓,2,0.7624056603773585,7.290518867924528
石鼓,3,0.8905806451612903,10.32978494623656
石鼓,4,1.5229523809523808,13.112190476190476
石鼓,5,2.546912442396313,16.54357142857143
石鼓,6,5.821071428571428,18.261809523809525
石鼓,7,8.735645161290323,17.698870967741936
石鼓,8,8.219055299539171,17.40536866359447
石鼓,9,6.987857142857143,16.189857142857143
石鼓,10,3.1414285714285715,13.842603686635943
石鼓,11,0.5861428571428572,10.235
石鼓,12,0.3648847926267281,7.138640552995392
金江街,1,0.5286236559139785,11.616
金江街,2,0.4181367924528302,14.090825471698114
金江街,3,0.3641720430107527,17.677397849462366
金江街,4,0.7230714285714286,20.163785714285716
金江街,5,1.663110599078341,22.906336405529956
金江街,6,5.0485,22.958000000000002
金江街,7,7.049861751152074,21.735115207373273
金江街,8,7.021797235023041,21.330023041474654
金江街,9,5.352571428571428,20.162976190476193
金江街,10,2.4789861751152076,17.955737327188942
金江街,11,0.4647619047619047,15.070357142857143
金江街,12,0.3939861751152074,12.028986175115207
阿海,1,0.9918064516129033,5.294559139784946
阿海,2,0.929622641509434,7.413254716981132
阿海,3,0.8620430107526882,10.878731182795699
阿海,4,1.5696904761904762,13.734833333333334
阿海,5,2.7567281105990786,16.959285714285713
阿海,6,7.8229999999999995,17.755333333333333
阿海,7,8.629884792626727,17.115460829493088
阿海,8,7.342880184331797,16.913640552995393
阿海,9,7.450261904761905,15.493785714285716
阿海,10,3.788294930875576,12.783110599078341
阿海,11,0.944547619047619,9.224642857142857
阿海,12,0.6585023041474655,6.163179723502305
