obs,pred
-0.1505315278592378,-0.11650612476048232
-0.19238027773852523,-0.16985244609304195
-0.21907476578144153,-0.20967985954458496
-0.2304931864358594,-0.23067978718504073
-0.24795215883453608,-0.2501279412293671
-0.275878138241312,-0.2742598918073235
-0.2981074381204,-0.29712283956166785
-0.3330625853384103,-0.32740066535090917
-0.3681365507306233,-0.36682569518377206
-0.39911068575080016,-0.4017609756027764
-0.4257123884842852,-0.42761724660526546
-0.44216698382210823,-0.4536999991164216
-0.4552372184427609,-0.4626335541319191
-0.48591461706652667,-0.48369980744875973
-0.5314488200390295,-0.5119647585950184
-0.49627628589145245,-0.5285399086124387
-0.47886484664891577,-0.5016603355835245
-0.49258359245371053,-0.5059620420657553
-0.4989206009875795,-0.5245775564895234
-0.47888209397368237,-0.5134388456489611
-0.38054862037443166,-0.4627481046233723
-0.33593005609388954,-0.368867531204861
-0.32550025150644735,-0.34015350210418455
-0.3319243207684044,-0.34228278147319435
-0.2314034390178674,-0.32455314969132026
-0.15236975126473745,-0.21647944074004827
-0.1248067309177256,-0.15285338273327803
-0.14209686495714702,-0.14608305723886938
-0.12764506370132953,-0.16123882012227644
-0.1293060752596966,-0.1469175805262963
-0.14983950102719906,-0.15811081469301924
-0.16009979031260504,-0.18096156276115913
-0.13445422510875787,-0.17392956944962168
-0.18316821963326002,-0.14791970601659593
-0.15235834625049335,-0.19417320484229142
-0.12308533164845435,-0.14187406248533269
-0.21008478905676736,-0.12301298706777802
-0.2147269977578119,-0.213807812474325
-0.16861546560619772,-0.20733456184771776
-0.15533967583849748,-0.160044428166042
-0.17955920220970142,-0.1636186566171191
-0.2061801978124433,-0.20259977386330585
-0.22649745809061422,-0.22995063151308215
-0.24657377088721222,-0.2473397905084373
-0.2909683112557049,-0.26930843798456805
-0.34598124364072164,-0.312646314820453
-0.36185284408267976,-0.36656083396265493
-0.42265796379208687,-0.386778318761374
-0.48911490821187065,-0.4450493473187682
-0.5177917054595953,-0.5089468299484012
-0.5140914773543785,-0.5137296955864075
-0.527175074236881,-0.5007444025686156
-0.6074511285868078,-0.534727577682373
-0.6549734536423466,-0.6180811905082295
-0.6738395546242424,-0.6727470867049818
-0.6759169448574782,-0.6782692915889557
-0.7078894821826596,-0.6764876370541069
-0.807765090301485,-0.7127312124103129
-0.7734688732999844,-0.7850325864777987
-0.7621586310451904,-0.744360510313262
-0.7705696745306854,-0.7529641587360822
-0.7486939448093126,-0.758109394787956
-0.744476767877815,-0.7264343590988511
-0.7679259480804548,-0.7290968633531791
-0.6600926715455964,-0.7169334966006298
-0.6311215219173414,-0.6298574048546699
-0.6089701881872409,-0.6260508084359608
-0.5485933083675165,-0.5894078957035889
-0.5232880099241244,-0.5389093769954927
-0.495596635339387,-0.5056273380090219
-0.4842972536013829,-0.4790924171524915
-0.45847597759743913,-0.4592039559776049
-0.538064964457005,-0.43419554109209785
-0.5629061156110298,-0.527309697553404
-0.5430909997148434,-0.5486213867767782
-0.5373744239558549,-0.5281516966437161
-0.49910961518493635,-0.5178811207712692
-0.43675253056948343,-0.46480459792728346
-0.4256254160530817,-0.41601615441302514
-0.41042584319882963,-0.4174238716421408
-0.3946921330581199,-0.40309634825121576
-0.3662717793951928,-0.38658497801667807
-0.34326481942227693,-0.36125374972154645
-0.2892852843408098,-0.32511159805330236
-0.22499099551236562,-0.26162987602034676
-0.1601903534837772,-0.19505130264220463
-0.09249104982527014,-0.13019752060531228
-0.06642332250062137,-0.08046658143006688
-0.026206620962076255,-0.05489185240178619
0.00810623172431416,-0.013763140621376678
0.07480770608780649,0.029981300138812575
0.16543423763255236,0.10576328404609714
0.2273912196321739,0.19393953289834012
0.3133645274395375,0.2595616744238962
0.3989837500240265,0.3463364383354526
0.4308472701291814,0.40982204543132483
0.48288350851262885,0.44613254982595957
0.5589492436557519,0.5036691543306218
0.5925687533346695,0.568308713409641
0.6121293976098114,0.5877984258542581
