rmse,mae,r2,nse,kge,pbias,pearson_r,mape_pct,willmott_d,model,phase,target,task,accuracy,precision,recall,f1,auc,mcc,brier,csi,far,specificity,npv
0.16500169329343706,0.1346238361373306,0.9674890630214382,0.9674890630214382,0.1879173105317331,-16.013809254170248,0.9931187136199907,67.57943808188016,0.9916292576157714,cnn_baseline,test,idx_30,reg,,,,,,,,,,,
0.05514026417675572,0.03835221177550775,0.9958705008713968,0.9958705008713968,0.9630214012205974,-0.9243165737243337,0.9979810083145864,24.426207611082276,0.9989586187806135,cnn_baseline,test,idx_90,reg,,,,,,,,,,,
0.17326076361202905,0.14031534208302193,0.96997601313313,0.96997601313313,-635.9516711508918,-15.926972707625735,0.993645167203939,128.32913507870862,0.9922341407177561,cnn_baseline,train,idx_30,reg,,,,,,,,,,,
0.05807343285726467,0.03867448517342285,0.9965705080932971,0.9965705080932971,-751987.6878821474,-0.8966071484825483,0.9983499621975586,47580.59097061261,0.9991330083010429,cnn_baseline,train,idx_90,reg,,,,,,,,,,,
0.17227085334547587,0.13851835841474955,0.9746595973841584,0.9746595973841584,-2.0580327777514227,-14.879898277446712,0.9945502386429429,99.34818053372048,0.9934758416896876,cnn_baseline,valid,idx_30,reg,,,,,,,,,,,
0.057716688282781724,0.039523326978369216,0.9974658924610857,0.9974658924610857,0.7910157872018407,-1.0845619346210114,0.9988147186012829,19.833625651309703,0.9993594364081417,cnn_baseline,valid,idx_90,reg,,,,,,,,,,,
0.1090427797628543,0.06934161013905009,0.9858013677021387,0.9858013677021387,0.9394839045750764,0.9932803132701612,0.9932554203807843,36.66512671173189,0.9963187193627531,extra_trees,test,idx_30,reg,,,,,,,,,,,
0.07677869709768381,0.043246986394682066,0.9919935283546742,0.9919935283546742,0.9425929189468645,1.3433644295598863,0.996240830424025,22.3796273501653,0.9979478838653923,extra_trees,test,idx_90,reg,,,,,,,,,,,
0.07388536474554423,0.04968525202267472,0.9945400991465241,0.9945400991465241,0.9878634379186018,-3.17802007431498e-07,0.9973082179677355,71.2293113498899,0.9986169303763306,extra_trees,train,idx_30,reg,,,,,,,,,,,
0.04081110828955767,0.027872932441972195,0.9983063192083624,0.9983063192083624,0.29614500171163904,3.6202576433124045e-07,0.999176139966747,33600.89096176361,0.9995731475014787,extra_trees,train,idx_90,reg,,,,,,,,,,,
0.12041998959040252,0.07093519269326923,0.9876181062935471,0.9876181062935471,0.8058644143156207,-0.9290387468773467,0.9942383258600151,33.170616699015675,0.9967852784619371,extra_trees,valid,idx_30,reg,,,,,,,,,,,
0.10459646739289719,0.05013492906060128,0.9916774527897848,0.9916774527897848,0.748389249340247,-1.2894890783595483,0.9966117042693258,16.7568505353034,0.9978268563035108,extra_trees,valid,idx_90,reg,,,,,,,,,,,
0.03480625700839997,0.02367688306883386,0.9985533371486889,0.9985533371486889,0.9829357527452409,0.3355514199780762,0.9992823461884537,10.156261825480058,0.9996386589311461,fusion_daily_stacking,test,idx_30,reg,,,,,,,,,,,
0.041403813093880845,0.026860036988409774,0.9976716923093477,0.9976716923093477,0.9913516714356551,0.21091992221408257,0.9988429985511494,17.254112369176564,0.9994189629094749,fusion_daily_stacking,test,idx_90,reg,,,,,,,,,,,
0.0317946768327404,0.02266109996431427,0.9989889404321617,0.9989889404321617,-11.34694928279021,0.30873664145011137,0.9995065680123248,47.14773469188857,0.9997481259174182,fusion_daily_stacking,train,idx_30,reg,,,,,,,,,,,
0.045516281335403884,0.027219571685625506,0.9978932726634403,0.9978932726634403,-99735.87515018137,0.11891910045335534,0.9989517843939069,39873.394036520825,0.9994741922778194,fusion_daily_stacking,train,idx_90,reg,,,,,,,,,,,
0.033696379517970707,0.023726883058201566,0.9990304808701945,0.9990304808701945,0.9993143124350965,8.143839861048873e-07,0.9995151228821875,25.70131038390691,0.9997574444370987,fusion_daily_stacking,valid,idx_30,reg,,,,,,,,,,,
0.043085318851907764,0.027100724209822753,0.9985878499171524,0.9985878499171524,0.9990011116786067,-4.2353395303548663e-07,0.999293675511434,12.399034176280068,0.9996465928061904,fusion_daily_stacking,valid,idx_90,reg,,,,,,,,,,,
0.04876631022244577,0.030273526631269324,0.9971601691146594,0.9971601691146594,0.9414452879935395,1.1547197167113592,0.9986313436021268,15.47418570468168,0.9992908202094849,fusion_meta_all_daily,test,idx_30,reg,,,,,,,,,,,
0.03726968227278019,0.023592527963786625,0.9981134380340447,0.9981134380340447,0.9898781550611931,0.25229927539786745,0.9990593067130831,15.147692207357736,0.9995271490618032,fusion_meta_all_daily,test,idx_90,reg,,,,,,,,,,,
0.04813304078605771,0.030452188576669443,0.9976828480664099,0.9976828480664099,-39.54512587181134,1.0138319477515212,0.9988753078338718,110.67493116680993,0.9994205853282921,fusion_meta_all_daily,train,idx_30,reg,,,,,,,,,,,
0.041515810785648664,0.02367797187445379,0.9982473232232631,0.9982473232232631,-95570.6464082057,0.11395283044351887,0.9991237390506262,34942.045049473374,0.9995612203909389,fusion_meta_all_daily,train,idx_90,reg,,,,,,,,,,,
0.05084241664320369,0.031014806541515404,0.9977927970326552,0.9977927970326552,0.8750045115391812,0.6072057998397529,0.998926162513756,28.458020598880335,0.9994439108311121,fusion_meta_all_daily,valid,idx_30,reg,,,,,,,,,,,
0.040200192842025376,0.024287079003372736,0.9987706416195681,0.9987706416195681,0.9899092999765166,-0.045619177328668395,0.9993945904424957,11.550666151254765,0.9996910462300312,fusion_meta_all_daily,valid,idx_90,reg,,,,,,,,,,,
0.07149732921830926,0.04464099918621461,0.9938957498558876,0.9938957498558876,0.9868726459355196,0.23178591125666959,0.9969470296553379,20.4404807573091,0.9984640379587281,gbrt_multi,test,idx_30,reg,,,,,,,,,,,
0.03670493147897732,0.02392884611240914,0.9981701793299179,0.9981701793299179,0.9955648817412341,0.10440640253217337,0.9990852358719332,14.603229691316589,0.9995416595101325,gbrt_multi,test,idx_90,reg,,,,,,,,,,,
0.06967677490310074,0.04419045500979285,0.9951443877979734,0.9951443877979734,0.9941654404062156,-3.0264241038628167e-07,0.9975733941239036,181.32264489018354,0.9987782118615015,gbrt_multi,train,idx_30,reg,,,,,,,,,,,
0.03786449291447895,0.022925289182171918,0.9985420619365931,0.9985420619365931,0.2690305607331386,3.2964998552532935e-07,0.9992714588340664,41500.794850494574,0.9996346898431664,gbrt_multi,train,idx_90,reg,,,,,,,,,,,
0.0850566972869163,0.04918069944845835,0.9938225828240488,0.9938225828240488,0.8660539471751643,-0.6457399352856436,0.9970324309100282,36.77161381439046,0.9984252533369703,gbrt_multi,valid,idx_30,reg,,,,,,,,,,,
0.0673485356249807,0.029652123965715874,0.9965495276810542,0.9965495276810542,0.8604382393803411,-0.7199538322467784,0.9984047033925912,12.508861111467787,0.9991221184585611,gbrt_multi,valid,idx_90,reg,,,,,,,,,,,
0.04282743819156575,0.029477879776826005,0.9978097339170102,0.9978097339170102,0.9493801247494914,-0.8506370454585355,0.9992629414223625,11.337260427128829,0.9994374152495034,gru_daily_hybrid,test,idx_30,reg,,,,,,,,,,,
