model,epoch,train_loss,val_rmse_reg_macro,lr
tcn_daily_hybrid,1,0.8448311284645996,0.079527278217453,0.0005
tcn_daily_hybrid,2,0.28663866294432533,0.07471537326694658,0.0005
tcn_daily_hybrid,3,0.2068529005236594,0.0752652094967638,0.0005
tcn_daily_hybrid,4,0.19616554023088079,0.0716730562117168,0.0005
tcn_daily_hybrid,5,0.20177791089610717,0.06813850987719378,0.0005
tcn_daily_hybrid,6,0.20389891827924062,0.06641664486026265,0.0005
tcn_daily_hybrid,7,0.1415725888569007,0.06807816682388804,0.0005
tcn_daily_hybrid,8,0.1647413115025358,0.0672965925279554,0.0005
tcn_daily_hybrid,9,0.1705474452799664,0.06932408423020518,0.0005
tcn_daily_hybrid,10,0.12751510361852372,0.06525717503895717,0.0005
tcn_daily_hybrid,11,0.1374615264182861,0.06830382517657216,0.0005
tcn_daily_hybrid,12,0.10852539148676184,0.06339727404741852,0.0005
tcn_daily_hybrid,13,0.12375144489043582,0.06666138054579557,0.0005
tcn_daily_hybrid,14,0.13640403816789654,0.06199222039425191,0.0005
tcn_daily_hybrid,15,0.098058687061467,0.06767026217826826,0.0005
tcn_daily_hybrid,16,0.0941489313819767,0.06619650669819706,0.0005
tcn_daily_hybrid,17,0.09092811213196379,0.06663162113504499,0.0005
tcn_daily_hybrid,18,0.10666406157929285,0.06621624800079723,0.0005
tcn_daily_hybrid,19,0.08733274561839294,0.06554896837040716,0.00025
tcn_daily_hybrid,20,0.0798760981224807,0.0636205240934654,0.00025
tcn_daily_hybrid,21,0.07295829011539443,0.06430700206897691,0.00025
tcn_daily_hybrid,22,0.07274440133663933,0.06523037396906434,0.00025
gru_daily_hybrid,1,0.7367013315711401,0.07064855625701438,0.0005
gru_daily_hybrid,2,0.2903976019109245,0.06611857134651038,0.0005
gru_daily_hybrid,3,0.22419316919965554,0.07449331540025517,0.0005
gru_daily_hybrid,4,0.24203397200104937,0.06570282144253474,0.0005
gru_daily_hybrid,5,0.2194652815505994,0.06511386963107109,0.0005
gru_daily_hybrid,6,0.18265762686136022,0.05975335148678168,0.0005
gru_daily_hybrid,7,0.1667427095559846,0.07701670320120417,0.0005
gru_daily_hybrid,8,0.14675688649634872,0.056532563723126567,0.0005
gru_daily_hybrid,9,0.13340717773324093,0.049596340643197144,0.0005
gru_daily_hybrid,10,0.13641059377222461,0.05054735418275713,0.0005
gru_daily_hybrid,11,0.1278250894583432,0.050497192680621375,0.0005
gru_daily_hybrid,12,0.16265490423657197,0.049022059623274786,0.0005
gru_daily_hybrid,13,0.12271847692936395,0.05262024216799468,0.0005
gru_daily_hybrid,14,0.128493708105082,0.05337349163355701,0.0005
gru_daily_hybrid,15,0.11513780444794525,0.05352007653822983,0.0005
gru_daily_hybrid,16,0.15435369021003753,0.04862729532427995,0.0005
gru_daily_hybrid,17,0.09486992133006586,0.05775617099189029,0.0005
gru_daily_hybrid,18,0.1027951860981705,0.049006762146751745,0.0005
gru_daily_hybrid,19,0.09379450704869444,0.045804059086971625,0.0005
gru_daily_hybrid,20,0.1493262550999633,0.04727160353995154,0.0005
gru_daily_hybrid,21,0.11303020791208322,0.04845979419667336,0.0005
gru_daily_hybrid,22,0.11854696797981726,0.0478652110242071,0.0005
gru_daily_hybrid,23,0.11542991411962868,0.05450181459516267,0.0005
gru_daily_hybrid,24,0.10442002683020798,0.05717567255394036,0.00025
gru_daily_hybrid,25,0.09418891881287625,0.05329384300895923,0.00025
gru_daily_hybrid,26,0.07903693922984917,0.049332668332390486,0.00025
gru_daily_hybrid,27,0.07252798245939533,0.049430561833972146,0.00025
